,아파트,금액(만원),면적,층,주소
224,구월힐스테이트1단지,60000,133.83,5,구월동 23
225,간석래미안자이,60000,143.22,15,간석동 939-1
226,인천소래논현구역C10블록에코메트로3차더타워,59500,117.32,17,논현동 751-1
227,간석래미안자이,58000,119.36,5,간석동 939-1
228,간석래미안자이,58000,143.22,21,간석동 939-1
229,간석래미안자이,57000,119.52,14,간석동 939-1
230,인천소래논현구역C10블록에코메트로3차더타워,55250,105.05,30,논현동 751-1
231,간석래미안자이,55000,119.52,20,간석동 939-1
232,신영구월지웰시티푸르지오,55000,84.92,40,구월동 1608
233,구월힐스테이트1단지,54800,133.83,11,구월동 23
234,인천소래논현구역C10블록에코메트로3차더타워,54700,117.32,11,논현동 751-1
235,어진마을한화꿈에그린(6단지),54000,119.95,25,논현동 634-1
236,롯데캐슬골드,53000,115.67,16,구월동 24
237,롯데캐슬골드,52500,115.67,2,구월동 24
238,에코메트로5,52000,84.99,36,논현동 755-1
239,에코메트로5,52000,84.99,36,논현동 755-1
240,에코메트로5,51100,84.95,24,논현동 755-1
241,롯데캐슬골드,51000,115.67,22,구월동 24
242,에코메트로5,51000,84.95,11,논현동 755-1
243,구월힐스테이트1단지,50200,115.67,11,구월동 23
244,롯데캐슬골드,50000,115.67,5,구월동 24
245,서창퍼스트뷰(7단지),50000,120.97,4,서창동 699
246,구월아시아드선수촌센트럴자이,50000,84.94,12,구월동 1510
247,롯데캐슬골드,49700,115.67,29,구월동 24
248,롯데캐슬골드,49700,115.67,29,구월동 24
249,구월힐스테이트1단지,49200,115.67,3,구월동 23
250,구월유승한내들퍼스티지,49000,84.35,16,구월동 1508
251,호반베르디움,49000,84.74,21,서창동 702
252,구월유승한내들퍼스티지,48500,84.35,12,구월동 1508
253,어진마을한화꿈에그린(6단지),48500,101.31,18,논현동 634-1
254,인천소래논현구역C10블록에코메트로3차더타워,48000,95.69,24,논현동 751-1
255,롯데캐슬골드,48000,115.67,24,구월동 24
256,호반베르디움,47500,84.86,18,서창동 702
257,에코메트로6,47300,84.95,17,논현동 756-1
258,논현파크포레,47000,84.88,22,논현동 580-1
259,호반베르디움,47000,84.74,7,서창동 702
260,호반베르디움,47000,84.74,7,서창동 702
261,현대,47000,125.88,17,만수동 1037
262,간석한신더휴,46000,84.88,10,간석동 616-6
263,포레시안,46000,84.93,11,만수동 1115-1
264,에코메트로7,45800,84.99,21,논현동 757-1
265,호반베르디움,45500,84.74,21,서창동 702
266,포레시안,45000,84.95,17,만수동 1115-1
267,에코메트로7,45000,84.95,24,논현동 757-1
268,에코메트로7,45000,84.99,3,논현동 757-1
269,서창센트럴푸르지오,44900,84.98,10,서창동 682
270,포레시안,44700,84.95,13,만수동 1115-1
271,서창센트럴푸르지오,44500,84.98,14,서창동 682
272,에코메트로7,44000,84.99,23,논현동 757-1
273,에코메트로6,44000,84.99,13,논현동 756-1
274,현대,44000,125.88,13,만수동 1037
275,에코메트로11,43900,84.99,18,논현동 774-1
276,서창센트럴푸르지오,43500,84.98,11,서창동 682
277,에코메트로6,43500,84.99,29,논현동 756-1
278,어울림마을,43000,84.96,5,간석동 938-1
279,서창센트럴푸르지오,43000,74.98,10,서창동 682
280,에코메트로6,43000,84.95,33,논현동 756-1
281,에코메트로12,42500,85.0,6,논현동 755-4
282,에코메트로6,42500,84.99,5,논현동 756-1
283,에코메트로11,42300,84.99,5,논현동 774-1
284,에코메트로7,42200,84.99,12,논현동 757-1
285,롯데캐슬골드,42000,83.98,21,구월동 24
286,에코메트로11,42000,85.0,28,논현동 774-1
287,구월힐스테이트3단지,42000,83.87,15,구월동 20
288,서창자이,42000,84.8,22,서창동 561-1
289,롯데캐슬골드,42000,83.98,22,구월동 24
290,롯데캐슬골드,42000,84.81,4,구월동 24
291,롯데캐슬골드,42000,84.81,14,구월동 24
292,서창센트럴푸르지오,42000,84.98,2,서창동 682
293,롯데캐슬골드,42000,83.98,16,구월동 24
294,에코메트로7,41900,84.95,13,논현동 757-1
295,서창센트럴푸르지오,41900,74.98,12,서창동 682
296,구월힐스테이트1단지,41600,84.81,7,구월동 23
297,신영구월지웰시티푸르지오,41500,84.92,11,구월동 1608
298,구월힐스테이트3단지,41200,84.81,18,구월동 20
299,서창센트럴푸르지오,41200,74.98,19,서창동 682
300,에코메트로6,41000,84.99,30,논현동 756-1
301,구월힐스테이트1단지,41000,83.98,13,구월동 23
302,인천간석휴먼시아2단지,40900,84.87,21,간석동 941
303,구월아시아드선수촌5단지,40500,74.92,21,구월동 1513
304,롯데캐슬골드,40300,83.78,15,구월동 24
305,포레시안,40200,84.93,6,만수동 1115-1
306,롯데캐슬골드,40000,75.3,7,구월동 24
307,에코메트로11,40000,84.99,25,논현동 774-1
308,청광플러스원아파트,40000,84.99,24,서창동 640
309,논현파크포레,40000,84.93,14,논현동 580-1
310,서창센트럴푸르지오,39800,74.98,16,서창동 682
311,구월힐스테이트1단지,39500,75.3,25,구월동 23
312,에코메트로12,39500,85.0,6,논현동 755-4
313,에코메트로12,39500,85.0,21,논현동 755-4
314,서창센트럴푸르지오,39200,74.98,22,서창동 682
315,롯데캐슬골드,39000,83.98,10,구월동 24
316,롯데캐슬골드,39000,83.98,5,구월동 24
317,휴먼시아동산마을,39000,84.6,20,논현동 603-1
318,구월힐스테이트1단지,39000,83.98,17,구월동 23
