,아파트,금액(만원),면적,층,주소
402,현대3차,30300,71.02,7,산곡동 370-399
403,"부평1,2차금호타운",30100,59.8,11,청천동 200
404,"부평1,2차금호타운",30050,59.8,7,청천동 200
405,우성4차,30000,84.97,3,산곡동 306-3
406,동아(1차),30000,52.43,1,부평동 70-5
407,청천우민늘푸른아파트,30000,59.65,14,청천동 453
408,부평샬레아넬리스,30000,59.95,5,산곡동 518
409,청천우민늘푸른아파트,30000,59.65,17,청천동 453
410,주공5,30000,59.99,16,부개동 500-1
411,경남2차,30000,84.43,1,산곡동 274
412,주공5,30000,59.99,5,부개동 500-1
413,한화1단지,29900,59.88,9,산곡동 124-23
414,한화2단지,29900,59.88,11,산곡동 124-23
415,경남3차,29500,84.87,13,산곡동 145
416,부평삼산신원아침도시,29500,51.5,9,삼산동 550
417,풍림아파트(101동~110동),29500,72.81,8,일신동 409
418,현대,29500,84.56,13,삼산동 40-1
419,"부평1,2차금호타운",29300,59.8,9,청천동 200
420,현대3차,29000,71.02,4,산곡동 370-399
421,우림필유(192-0),29000,77.67,11,청천동 192
422,우림필유(192-0),29000,77.67,24,청천동 192
423,우성1차2차(294-35),29000,73.96,15,산곡동 294-35
424,청천푸르지오,28900,59.36,14,청천동 176
425,부평코오롱하늘채,28800,34.3,21,부개동 520
426,태화(416),28800,84.9,6,갈산동 416
427,우림필유(192-0),28750,77.67,3,청천동 192
428,삼산타운주공1단지,28750,51.83,1,삼산동 440-1
429,부개주공7단지,28500,59.99,13,부개동 502-8
430,청천우민늘푸른아파트,28500,59.46,18,청천동 453
431,다인팰리스,28300,55.12,15,부평동 161-4
432,부개주공3,28000,59.93,7,부개동 498-5
433,태화프리상뜨,28000,59.89,14,산곡동 233-26
434,청천푸르지오,28000,59.36,23,청천동 176
435,청천푸르지오,28000,59.36,13,청천동 176
436,삼산주공미래타운3차,27800,59.39,11,삼산동 390-6
437,다인팰리스,27800,55.12,14,부평동 161-4
438,삼산주공미래타운3차,27700,59.41,10,삼산동 390-6
439,삼산주공미래타운3차,27700,59.39,16,삼산동 390-6
440,청천우민늘푸른아파트,27500,59.46,3,청천동 453
441,"부평1,2차금호타운",27500,59.8,2,청천동 200
442,삼산주공미래타운1차,27300,59.39,10,삼산동 387-2
443,리노빌,27300,59.8,8,부개동 296-2
444,부개주공3,27300,59.93,12,부개동 498-5
445,부개주공3,27000,59.98,7,부개동 498-5
446,현대3차,27000,71.02,2,산곡동 370-399
447,현대3차,27000,71.02,10,산곡동 370-399
448,경남2차,27000,84.43,1,산곡동 274
449,주공5,27000,59.94,15,부개동 500-1
450,청천푸르지오,27000,59.36,19,청천동 176
451,청천푸르지오,26800,59.36,5,청천동 176
452,삼산주공미래타운1차,26700,59.39,17,삼산동 387-2
453,부평코오롱하늘채,26650,34.3,1,부개동 520
454,대주파크빌,26000,59.73,15,십정동 182-95
455,삼산주공미래타운1차,26000,59.39,5,삼산동 387-2
456,일신주공아파트(100~112동),26000,59.97,3,일신동 410
457,삼산주공미래타운3차,25900,59.39,8,삼산동 390-6
458,뉴서울(264-1),25500,84.89,8,산곡동 264-1
459,삼산주공미래타운4차,25500,59.39,17,삼산동 389-8
460,부개역코오롱하늘채,25500,31.93,13,부개동 525
461,대동2,25500,58.32,8,갈산동 361-3
462,한국,25300,72.53,16,부개동 442-3
463,일신주공아파트(100~112동),25300,59.98,12,일신동 410
464,삼산주공미래타운4차,25200,59.39,2,삼산동 389-8
465,대주파크빌,25000,59.73,11,십정동 182-95
466,뉴서울아파트,25000,84.81,4,산곡동 255-1
467,삼산주공미래타운4차,25000,59.39,19,삼산동 389-8
468,포커스뷰,25000,49.1,7,부평동 546-43
469,삼산주공미래타운1차,24800,59.39,9,삼산동 387-2
470,대주파크빌,24800,59.73,14,십정동 182-95
471,경남2차,24700,59.72,9,산곡동 274
472,한국,24600,72.53,8,부개동 442-3
473,부개주공3,24500,49.96,16,부개동 498-5
474,창보,24500,59.9,16,부평동 70-78
475,현대(124-1),24000,59.4,16,산곡동 124-1
476,쌍용더플래티넘부평,24000,39.5,15,산곡동 519
477,삼산주공미래타운1차,24000,59.39,20,삼산동 387-2
478,부평센트레빌,24000,36.75,13,부평동 115-9
479,삼익,23500,61.38,5,청천동 300
480,성일,23500,58.98,8,부개동 494
481,삼산주공미래타운1차,23000,59.39,4,삼산동 387-2
482,성일,23000,50.88,6,부개동 494
483,한국,23000,60.0,17,십정동 186-7
484,삼산주공미래타운1차,22900,59.39,3,삼산동 387-2
485,동암신동아,22800,59.8,1,십정동 607
486,십정뜨란채1단지,22500,46.31,19,십정동 608-4
487,일신주공아파트(100~112동),22400,59.98,12,일신동 410
488,삼산주공미래타운3차,22000,59.39,1,삼산동 390-6
489,삼산주공미래타운2차,21950,49.4,17,삼산동 388-7
490,엔에스파크(217-3),21900,72.26,13,부평동 217-3
491,태화(416),21800,59.93,5,갈산동 416
492,삼산주공미래타운2차,21500,49.4,5,삼산동 388-7
493,우성5차,21400,59.54,16,산곡동 251-2
494,한신(137-3),21000,64.34,3,산곡동 137-3
495,한결(102동),21000,59.31,6,부평동 492-10
496,한결(102동),21000,59.31,6,부평동 492-10
497,주공1단지,21000,49.94,6,갈산동 359
498,삼산주공미래타운4차,21000,59.39,1,삼산동 389-8
499,삼익,21000,52.38,15,청천동 300
500,삼산주공미래타운4차,21000,49.57,4,삼산동 389-8
501,스위트홈1동,21000,42.57,5,부평동 518-1
502,우성1차2차(294-35),21000,54.52,12,산곡동 294-35
503,삼익,20800,52.38,10,청천동 300
504,벨라루체,20700,44.41,5,부평동 519-9
