,아파트,금액(만원)Incheon_abc_MC2301_84.csv,면적Incheon_abc_MC2301_84.csv,층Incheon_abc_MC2301_84.csv,주소Incheon_abc_MC2301_84.csv,금액(만원)Incheon_abc_MC2312_84.csv,면적Incheon_abc_MC2312_84.csv,층Incheon_abc_MC2312_84.csv,주소Incheon_abc_MC2312_84.csv
154,벽산,28000,84.93,3,만수동 1114,28800,84.93,3,만수동 1114
155,벽산,29800,84.93,8,만수동 1114,32000,84.93,15,만수동 1114
156,벽산,29800,84.93,8,만수동 1114,29800,84.93,25,만수동 1114
157,벽산,29800,84.93,8,만수동 1114,31400,84.93,20,만수동 1114
158,벽산,29800,84.93,8,만수동 1114,30500,84.93,10,만수동 1114
159,벽산,29800,84.93,8,만수동 1114,33800,84.93,15,만수동 1114
160,벽산,29800,84.93,8,만수동 1114,30000,84.93,7,만수동 1114
161,벽산,29800,84.93,8,만수동 1114,28800,84.93,3,만수동 1114
162,서창센트라스아파트,35000,84.88,6,서창동 692,40200,84.99,20,서창동 692
163,서창센트라스아파트,35000,84.88,6,서창동 692,41500,84.96,20,서창동 692
164,서창센트라스아파트,35500,84.92,8,서창동 692,40200,84.99,20,서창동 692
165,서창센트라스아파트,35500,84.92,8,서창동 692,41500,84.96,20,서창동 692
166,서창센트럴푸르지오,44900,84.98,10,서창동 682,53000,84.98,19,서창동 682
167,서창센트럴푸르지오,44900,84.98,10,서창동 682,51000,84.98,22,서창동 682
168,서창센트럴푸르지오,44500,84.98,14,서창동 682,53000,84.98,19,서창동 682
169,서창센트럴푸르지오,44500,84.98,14,서창동 682,51000,84.98,22,서창동 682
170,서창센트럴푸르지오,43000,84.98,17,서창동 682,53000,84.98,19,서창동 682
171,서창센트럴푸르지오,43000,84.98,17,서창동 682,51000,84.98,22,서창동 682
172,서창센트럴푸르지오,42000,84.98,2,서창동 682,53000,84.98,19,서창동 682
173,서창센트럴푸르지오,42000,84.98,2,서창동 682,51000,84.98,22,서창동 682
174,서창센트럴푸르지오,43500,84.98,11,서창동 682,53000,84.98,19,서창동 682
175,서창센트럴푸르지오,43500,84.98,11,서창동 682,51000,84.98,22,서창동 682
176,서창자이,42000,84.8,22,서창동 561-1,42500,84.8,14,서창동 561-1
177,서창자이,42000,84.8,22,서창동 561-1,41000,84.8,11,서창동 561-1
178,서창퍼스트뷰(7단지),34500,84.28,9,서창동 699,44000,84.41,10,서창동 699
179,서창퍼스트뷰(7단지),34500,84.28,9,서창동 699,37800,84.99,3,서창동 699
180,서창퍼스트뷰(7단지),34500,84.28,9,서창동 699,40500,84.55,14,서창동 699
181,서창퍼스트뷰(7단지),34500,84.28,9,서창동 699,40500,84.95,12,서창동 699
182,서창퍼스트뷰(7단지),36000,84.95,4,서창동 699,44000,84.41,10,서창동 699
183,서창퍼스트뷰(7단지),36000,84.95,4,서창동 699,37800,84.99,3,서창동 699
184,서창퍼스트뷰(7단지),36000,84.95,4,서창동 699,40500,84.55,14,서창동 699
185,서창퍼스트뷰(7단지),36000,84.95,4,서창동 699,40500,84.95,12,서창동 699
186,서창퍼스트뷰(7단지),33800,84.72,14,서창동 699,44000,84.41,10,서창동 699
187,서창퍼스트뷰(7단지),33800,84.72,14,서창동 699,37800,84.99,3,서창동 699
188,서창퍼스트뷰(7단지),33800,84.72,14,서창동 699,40500,84.55,14,서창동 699
189,서창퍼스트뷰(7단지),33800,84.72,14,서창동 699,40500,84.95,12,서창동 699
190,서창퍼스트뷰(7단지),35500,84.41,12,서창동 699,44000,84.41,10,서창동 699
191,서창퍼스트뷰(7단지),35500,84.41,12,서창동 699,37800,84.99,3,서창동 699
192,서창퍼스트뷰(7단지),35500,84.41,12,서창동 699,40500,84.55,14,서창동 699
193,서창퍼스트뷰(7단지),35500,84.41,12,서창동 699,40500,84.95,12,서창동 699
194,서해그랑블,34500,84.75,12,서창동 540,35000,84.75,3,서창동 540
195,서해그랑블,34500,84.75,12,서창동 540,37200,84.75,3,서창동 540
196,성원상떼빌,36000,84.93,5,용현동 649,35500,84.93,11,용현동 649
197,성원상떼빌,36000,84.93,5,용현동 649,33500,84.93,17,용현동 649
198,성원상떼빌,36000,84.93,5,용현동 649,32000,84.93,15,용현동 649
199,스타디움센트럴시티,40000,84.92,19,숭의동 462,55000,84.92,32,숭의동 462
200,스타디움센트럴시티,40000,84.92,19,숭의동 462,34000,84.92,36,숭의동 462
201,신동아,27000,84.91,4,만수동 5-426,21800,84.91,15,만수동 5-426
202,신동아,27500,84.91,9,만수동 5-426,21800,84.91,15,만수동 5-426
203,신동아3,25000,84.91,5,학익동 48-14,29500,84.91,11,학익동 48-14
204,신동아3,30000,84.91,9,학익동 48-14,29500,84.91,11,학익동 48-14
205,신동아7,26100,84.95,5,학익동 645,29800,84.95,13,학익동 645
206,신동아7,26100,84.95,5,학익동 645,28000,84.95,14,학익동 645
207,신동아8,25200,84.96,3,학익동 50,27700,84.96,8,학익동 50
208,신동아8,26400,84.96,15,학익동 50,27700,84.96,8,학익동 50
209,신동아8,28000,84.96,14,학익동 50,27700,84.96,8,학익동 50
210,신영구월지웰시티푸르지오,55000,84.92,40,구월동 1608,58500,84.93,33,구월동 1608
211,신영구월지웰시티푸르지오,52500,84.92,38,구월동 1608,58500,84.93,33,구월동 1608
